flight_id,aircraft_type,arrival_time,scheduled_departure,position,passenger_count,is_international,arrival_delay_minutes,actual_arrival,equipment_failure,failed_task,date,day_of_week,is_weekend
FL01010097,B777,2024-01-01 06:11:47,2024-01-01 07:59:47,terminal_C_gate_7,396,True,12.973578093839219,2024-01-01 06:24:45.414685628,False,,2024-01-01,Monday,False
FL01010103,A320,2024-01-01 06:16:04,2024-01-01 07:10:04,terminal_D_gate_1,180,False,8.0049199891638,2024-01-01 06:24:04.295199352,False,,2024-01-01,Monday,False
FL01010023,A320,2024-01-01 06:19:18,2024-01-01 07:13:18,terminal_A_gate_3,180,True,8.697681672180185,2024-01-01 06:27:59.860900332,False,,2024-01-01,Monday,False
FL01010090,A321,2024-01-01 06:29:38,2024-01-01 07:29:38,terminal_C_gate_8,220,True,6.738966101634506,2024-01-01 06:36:22.337966096,False,,2024-01-01,Monday,False
FL01010042,A320,2024-01-01 06:34:49,2024-01-01 07:28:49,terminal_A_gate_9,180,False,5.2625927220551745,2024-01-01 06:40:04.755563326,False,,2024-01-01,Monday,False
FL01010094,B737,2024-01-01 07:03:45,2024-01-01 07:57:45,terminal_A_gate_11,189,False,5.540936124989527,2024-01-01 07:09:17.456167500,False,,2024-01-01,Monday,False
FL01010108,B737,2024-01-01 07:14:20,2024-01-01 08:08:20,terminal_C_gate_7,189,False,2.8879706104643748,2024-01-01 07:17:13.278236630,False,,2024-01-01,Monday,False
FL01010015,A320,2024-01-01 07:17:42,2024-01-01 08:11:42,terminal_B_gate_3,180,False,12.333583855470792,2024-01-01 07:30:02.015031330,False,,2024-01-01,Monday,False
FL01010096,A320,2024-01-01 07:20:27,2024-01-01 08:14:27,terminal_C_gate_1,180,False,7.49305239142519,2024-01-01 07:27:56.583143484,False,,2024-01-01,Monday,False
FL01010010,A321,2024-01-01 07:47:44,2024-01-01 08:47:44,terminal_C_gate_1,220,True,10.407400251943137,2024-01-01 07:58:08.444015114,False,,2024-01-01,Monday,False
FL01010071,A350,2024-01-01 07:51:21,2024-01-01 09:33:21,terminal_A_gate_12,366,True,10.3472368798319,2024-01-01 08:01:41.834212788,True,cargo_unload,2024-01-01,Monday,False
FL01010046,A321,2024-01-01 07:51:50,2024-01-01 08:51:50,terminal_A_gate_8,220,True,6.473521039003417,2024-01-01 07:58:18.411262340,False,,2024-01-01,Monday,False
FL01010031,A350,2024-01-01 08:01:51,2024-01-01 09:43:51,terminal_A_gate_12,366,True,10.008817469047347,2024-01-01 08:11:51.529048140,False,,2024-01-01,Monday,False
FL01010077,B737,2024-01-01 08:05:42,2024-01-01 08:59:42,terminal_D_gate_6,189,False,1.959223053107623,2024-01-01 08:07:39.553383186,False,,2024-01-01,Monday,False
FL01010058,A321,2024-01-01 08:07:17,2024-01-01 09:07:17,terminal_A_gate_8,220,True,10.32443406517686,2024-01-01 08:17:36.466043912,False,,2024-01-01,Monday,False
FL01010063,A350,2024-01-01 08:09:12,2024-01-01 09:51:12,terminal_A_gate_2,366,True,4.051389194820393,2024-01-01 08:13:15.083351688,False,,2024-01-01,Monday,False
FL01010070,A320,2024-01-01 08:21:48,2024-01-01 09:15:48,remote_stand_4,180,False,12.862906764777335,2024-01-01 08:34:39.774405888,False,,2024-01-01,Monday,False
