flight_id,task_name,duration,required_vehicles,predecessors,earliest_start,actual_start,actual_end
FL01010097,deplaning,15,"['jetbridge', 'passenger_stairs']",[],,,
FL01010097,cargo_unload,22,"['cargo_loader', 'cargo_loader']",['deplaning'],,,
FL01010097,refueling,20,"['fuel_truck', 'fuel_truck']",['deplaning'],,,
FL01010097,catering,32,"['catering_truck', 'catering_truck']","['deplaning', 'cleaning']",,,
FL01010097,cleaning,34,"['cleaning_crew', 'cleaning_crew']",['deplaning'],,,
FL01010097,water_service,10,['water_truck'],['deplaning'],,,
FL01010097,lavatory_service,11,['lavatory_truck'],['deplaning'],,,
FL01010097,cargo_load,21,"['cargo_loader', 'cargo_loader']","['cargo_unload', 'cleaning']",,,
FL01010097,boarding,22,"['jetbridge', 'passenger_stairs']","['cleaning', 'catering']",,,
FL01010097,pushback,6,['tug'],"['boarding', 'cargo_load', 'refueling', 'lavatory_service']",,,
FL01010103,deplaning,5,['passenger_stairs'],[],,,
FL01010103,cargo_unload,9,['baggage_loader'],['deplaning'],,,
FL01010103,refueling,12,['fuel_truck'],['deplaning'],,,
FL01010103,catering,14,['catering_truck'],"['deplaning', 'cleaning']",,,
FL01010103,cleaning,17,['cleaning_crew'],['deplaning'],,,
FL01010103,water_service,9,['water_truck'],['deplaning'],,,
FL01010103,cargo_load,10,['baggage_loader'],"['cargo_unload', 'cleaning']",,,
FL01010103,boarding,15,['passenger_stairs'],"['cleaning', 'catering']",,,
FL01010103,pushback,4,['tug'],"['boarding', 'cargo_load', 'refueling']",,,
FL01010023,deplaning,6,['passenger_stairs'],[],,,
FL01010023,cargo_unload,10,['baggage_loader'],['deplaning'],,,
FL01010023,refueling,13,['fuel_truck'],['deplaning'],,,
FL01010023,catering,17,['catering_truck'],"['deplaning', 'cleaning']",,,
FL01010023,cleaning,21,['cleaning_crew'],['deplaning'],,,
FL01010023,water_service,9,['water_truck'],['deplaning'],,,
FL01010023,cargo_load,10,['baggage_loader'],"['cargo_unload', 'cleaning']",,,
FL01010023,boarding,14,['passenger_stairs'],"['cleaning', 'catering']",,,
FL01010023,pushback,4,['tug'],"['boarding', 'cargo_load', 'refueling']",,,
FL01010090,deplaning,7,['passenger_stairs'],[],,,
FL01010090,cargo_unload,12,['baggage_loader'],['deplaning'],,,
FL01010090,refueling,11,['fuel_truck'],['deplaning'],,,
FL01010090,catering,19,['catering_truck'],"['deplaning', 'cleaning']",,,
FL01010090,cleaning,28,['cleaning_crew'],['deplaning'],,,
FL01010090,water_service,9,['water_truck'],['deplaning'],,,
FL01010090,cargo_load,11,['baggage_loader'],"['cargo_unload', 'cleaning']",,,
FL01010090,boarding,18,['passenger_stairs'],"['cleaning', 'catering']",,,
FL01010090,pushback,5,['tug'],"['boarding', 'cargo_load', 'refueling']",,,
FL01010042,deplaning,7,['passenger_stairs'],[],,,
FL01010042,cargo_unload,11,['baggage_loader'],['deplaning'],,,
FL01010042,refueling,13,['fuel_truck'],['deplaning'],,,
FL01010042,catering,15,['catering_truck'],"['deplaning', 'cleaning']",,,
FL01010042,cleaning,17,['cleaning_crew'],['deplaning'],,,
FL01010042,water_service,8,['water_truck'],['deplaning'],,,
FL01010042,cargo_load,10,['baggage_loader'],"['cargo_unload', 'cleaning']",,,
FL01010042,boarding,12,['passenger_stairs'],"['cleaning', 'catering']",,,
FL01010042,pushback,5,['tug'],"['boarding', 'cargo_load', 'refueling']",,,
FL01010094,deplaning,5,['passenger_stairs'],[],,,
FL01010094,cargo_unload,9,['baggage_loader'],['deplaning'],,,
FL01010094,refueling,14,['fuel_truck'],['deplaning'],,,
FL01010094,catering,19,['catering_truck'],"['deplaning', 'cleaning']",,,
FL01010094,cleaning,25,['cleaning_crew'],['deplaning'],,,
FL01010094,water_service,8,['water_truck'],['deplaning'],,,
FL01010094,cargo_load,9,['baggage_loader'],"['cargo_unload', 'cleaning']",,,
FL01010094,boarding,15,['passenger_stairs'],"['cleaning', 'catering']",,,
FL01010094,pushback,5,['tug'],"['boarding', 'cargo_load', 'refueling']",,,
FL01010108,deplaning,6,['passenger_stairs'],[],,,
FL01010108,cargo_unload,11,['baggage_loader'],['deplaning'],,,
FL01010108,refueling,10,['fuel_truck'],['deplaning'],,,
FL01010108,catering,15,['catering_truck'],"['deplaning', 'cleaning']",,,
FL01010108,cleaning,23,['cleaning_crew'],['deplaning'],,,
FL01010108,water_service,7,['water_truck'],['deplaning'],,,
FL01010108,cargo_load,9,['baggage_loader'],"['cargo_unload', 'cleaning']",,,
FL01010108,boarding,17,['passenger_stairs'],"['cleaning', 'catering']",,,
FL01010108,pushback,4,['tug'],"['boarding', 'cargo_load', 'refueling']",,,
FL01010015,deplaning,8,['passenger_stairs'],[],,,
FL01010015,cargo_unload,8,['baggage_loader'],['deplaning'],,,
FL01010015,refueling,11,['fuel_truck'],['deplaning'],,,
FL01010015,catering,12,['catering_truck'],"['deplaning', 'cleaning']",,,
FL01010015,cleaning,16,['cleaning_crew'],['deplaning'],,,
FL01010015,water_service,6,['water_truck'],['deplaning'],,,
FL01010015,cargo_load,9,['baggage_loader'],"['cargo_unload', 'cleaning']",,,
FL01010015,boarding,12,['passenger_stairs'],"['cleaning', 'catering']",,,
FL01010015,pushback,4,['tug'],"['boarding', 'cargo_load', 'refueling']",,,
FL01010096,deplaning,7,['passenger_stairs'],[],,,
FL01010096,cargo_unload,8,['baggage_loader'],['deplaning'],,,
FL01010096,refueling,11,['fuel_truck'],['deplaning'],,,
FL01010096,catering,16,['catering_truck'],"['deplaning', 'cleaning']",,,
FL01010096,cleaning,17,['cleaning_crew'],['deplaning'],,,
FL01010096,water_service,8,['water_truck'],['deplaning'],,,
FL01010096,cargo_load,11,['baggage_loader'],"['cargo_unload', 'cleaning']",,,
FL01010096,boarding,14,['passenger_stairs'],"['cleaning', 'catering']",,,
FL01010096,pushback,5,['tug'],"['boarding', 'cargo_load', 'refueling']",,,
FL01010010,deplaning,8,['passenger_stairs'],[],,,
FL01010010,cargo_unload,13,['baggage_loader'],['deplaning'],,,
FL01010010,refueling,13,['fuel_truck'],['deplaning'],,,
FL01010010,catering,16,['catering_truck'],"['deplaning', 'cleaning']",,,
FL01010010,cleaning,19,['cleaning_crew'],['deplaning'],,,
FL01010010,water_service,7,['water_truck'],['deplaning'],,,
FL01010010,cargo_load,10,['baggage_loader'],"['cargo_unload', 'cleaning']",,,
FL01010010,boarding,17,['passenger_stairs'],"['cleaning', 'catering']",,,
FL01010010,pushback,5,['tug'],"['boarding', 'cargo_load', 'refueling']",,,
FL01010071,deplaning,16,"['jetbridge', 'passenger_stairs']",[],,,
FL01010071,cargo_unload,40,"['cargo_loader', 'cargo_loader']",['deplaning'],,,
FL01010071,refueling,19,"['fuel_truck', 'fuel_truck']",['deplaning'],,,
FL01010071,catering,28,"['catering_truck', 'catering_truck']","['deplaning', 'cleaning']",,,
FL01010071,cleaning,29,"['cleaning_crew', 'cleaning_crew']",['deplaning'],,,
FL01010071,water_service,11,['water_truck'],['deplaning'],,,
FL01010071,lavatory_service,8,['lavatory_truck'],['deplaning'],,,
FL01010071,cargo_load,18,"['cargo_loader', 'cargo_loader']","['cargo_unload', 'cleaning']",,,
FL01010071,boarding,19,"['jetbridge', 'passenger_stairs']","['cleaning', 'catering']",,,
FL01010071,pushback,7,['tug'],"['boarding', 'cargo_load', 'refueling', 'lavatory_service']",,,
FL01010046,deplaning,9,['passenger_stairs'],[],,,
FL01010046,cargo_unload,9,['baggage_loader'],['deplaning'],,,
FL01010046,refueling,11,['fuel_truck'],['deplaning'],,,
